time(sec), throughput(req/sec), avg_lat(ms), min_lat(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms), 90th_lat(ms), 95th_lat(ms), 99th_lat(ms), max_lat(ms), tp (req/s) scaled,time(sec), throughput(req/sec), avg_lat(ms)
560,4.4,4251.188,1110.91,1878.383,4474.915,5078.141,7216.714,7268.022,7560.082,7560.082,0,,,
565,4.4,4956.317,1006.586,1919.369,4468.207,7759.587,8353.187,9039.662,11002.504,11002.504,0,,,
570,3.6,5362.617,1192.448,4007.918,6022.553,7760.419,8212.807,8478.84,8478.84,8478.84,0,,,
575,4.2,4359.345,1006.072,1718.808,4668.984,6725.359,7677.413,7711.323,7829.457,7829.457,0,,,
580,4.8,4923.057,999.93,2036.017,4576.075,7502.264,7761.473,8354.008,10296.131,10296.131,0,,,
585,3.8,5388.741,1635.308,3674.859,4636.965,8076.999,8728.752,10393.686,10393.686,10393.686,0,,,
590,3.8,5447.877,1025.738,4032.82,4550.046,9043.244,9530.914,9579.403,9579.403,9579.403,0,,,
595,3.2,5631.457,1006.829,4492.849,6314.556,8512.736,8804.81,9537.338,9537.338,9537.338,0,,,
600,4.6,4200.508,1006.17,1775.972,4722.134,5997.095,6781.132,6781.377,9689.384,9689.384,0,,,
605,3.2,6234.099,1409.187,5293.681,5895.665,8727.663,9815.346,9923.835,9923.835,9923.835,0,,,
610,3.8,5062.97,1003.435,1644.326,5772.435,6507.455,9340.67,9449.444,9449.444,9449.444,0,,,
615,4.6,3848.256,1004.462,1710.548,4241.792,4969.955,7067.138,7668.653,10025.216,10025.216,0,,,
620,4.4,5337.229,1005.083,3757.285,4903.541,7384.114,8788.326,8871.206,10546.816,10546.816,0,,,
625,4,4227.116,1003.949,1922.676,4642.854,5515.047,7755.027,7770.726,7770.726,7770.726,0,,,
630,4.8,4868.229,1004.298,3624.32,4604.622,6658.319,8581.011,9427.632,9616.25,9616.25,0,,,
635,4.6,4157.561,1003.88,1968.585,4066.166,6758.242,7158.755,7660.302,7835.726,7835.726,0,,,
640,4.6,4557.333,1004.209,3824.144,4092.544,7007.877,7178.474,7241.843,7550.294,7550.294,0,,,
645,4,5308.906,1028.632,4609.796,4944.082,8168.601,8978.592,9087.284,9087.284,9087.284,0,,,
650,3.6,5344.254,1026.018,4583.709,5336.067,8091.436,8610.618,8717.944,8717.944,8717.944,0,,,
655,4,5575.591,1005.95,4845.46,5205.518,8669.19,9070.534,9530.959,9530.959,9530.959,0,,,
660,4,5008.56,1003.318,1777.083,5278.162,7262.928,8228.033,14102.235,14102.235,14102.235,0,,,
665,3.4,5277.69,1005.293,3706.994,5945.449,7393.14,7784.591,7952.312,7952.312,7952.312,0,,,
670,3.8,4910.202,1005.839,1743.969,4734.858,7518.996,10309.418,13915.086,13915.086,13915.086,0,,,
675,5,4615.546,1003.592,1639.44,4467.541,7550.369,8687.388,10017.091,12373,12373,0,,,
680,3.8,4902.398,1004.203,1709.833,5695.809,8752.582,9698.749,9748.556,9748.556,9748.556,0,,,
685,3.6,5713.525,1693.725,4383.703,5380.578,8129.287,9399.436,11513.668,11513.668,11513.668,0,,,
690,3.2,4833.36,1026.934,3949.421,4719.334,7150.315,7834.284,8584.9,8584.9,8584.9,0,,,
695,4.8,5509.363,1006.115,4067.861,5979.46,7307.527,8274.971,10514.065,10798.734,10798.734,0,,,
700,3.2,5407.654,1004.838,1718.272,5337.833,8894.529,9629.859,12352.232,12352.232,12352.232,0,,,
705,4,5001.431,1004.877,1727.357,4643.105,8084.028,8535.035,11375.956,11375.956,11375.956,0,,,
710,3.6,5502.905,1003.97,3890.648,5578.269,8074.747,8435.573,10891.519,10891.519,10891.519,0,,,
715,3.8,4548.571,1004.682,1877.913,4513.615,6088.546,8017.755,8662.458,8662.458,8662.458,0,,,
720,4.2,4467.469,1088.174,1768.889,4780.725,6916.17,7725.299,7762.769,7792.583,7792.583,0,,,
725,4.2,5158.4,1029.457,1751.569,5438.117,6357.998,9582.681,9807.807,12064.581,12064.581,0,,,
730,3.6,5286.602,1005.226,2219.748,5317.992,8310.828,9847.603,10657.175,10657.175,10657.175,0,,,
735,4.2,5040.596,1005.537,1985.963,4116.877,8166.527,8737.858,11850.984,12444.473,12444.473,0,,,
740,3.4,5261.818,1333.049,1775.595,5025.736,6596.12,9553.705,9938.811,9938.811,9938.811,0,,,
745,4.4,4951.648,1005.658,3941.456,4560.099,7450.049,8354.41,8811.82,9304.695,9304.695,0,,,
750,4,6256.799,999.899,4023.926,5209.465,8042.717,15709.89,19854.358,19854.358,19854.358,0,,,
755,3.6,5307.624,1509.512,1743.617,5110.057,7181.485,7983.936,12193.052,12193.052,12193.052,0,,,
760,2.8,6415.964,1626.255,2895.79,6763.655,7933.632,10715.288,11508.554,11508.554,11508.554,0,,,
765,3.2,4608.862,1004.452,1768.987,5770.313,6546.666,6605.944,9888.058,9888.058,9888.058,0,,,
770,4,5460.208,1770.181,4124.191,4473.699,7465.367,7780.904,8140.872,8140.872,8140.872,0,,,
775,3.4,6507.749,1003.816,4181.838,5568.786,8417.692,10841.378,11280.088,11280.088,11280.088,0,,,
780,3.2,4938.276,1417.564,3867.049,5259.622,6891.466,8328.154,9289.083,9289.083,9289.083,0,,,
785,4,5202.558,1004.199,2896.062,4115.974,7065.944,12065.216,12485.99,12485.99,12485.99,0,,,
790,4.6,4891.482,1368.441,3322.718,4708.857,6712.436,8132.308,8792.827,10363.495,10363.495,0,,,
795,3.6,4356.887,1005.398,1622.546,4859.058,5645.364,7607.886,9328.6,9328.6,9328.6,0,,,
800,4,5038.403,1759.208,3521.697,4367.781,7124.208,8149.421,9203.959,9203.959,9203.959,0,,,
805,3.4,6113.536,1684.357,4340.23,4966.256,7282.155,10246.728,14124.131,14124.131,14124.131,0,,,
810,4,6174.609,1004.882,3210.433,6981.188,9546.196,12918.951,13128.643,13128.643,13128.643,0,,,
815,3.4,5180.998,1443.007,2261.652,5351.242,8627.198,9336.087,9537.555,9537.555,9537.555,0,,,
820,3.2,4847.096,1029.579,4035.712,5142.305,6913.857,7434.454,9019.172,9019.172,9019.172,0,,,
825,4,5404.643,1693.615,3939.93,5485.719,6563.494,10565.963,11207.938,11207.938,11207.938,0,,,
830,3,5592.939,1425.103,4593.617,5795.256,7531.885,8869.631,10631.424,10631.424,10631.424,0,,,
835,4.2,4789.627,1032.61,3748.968,5034.465,5979.926,7106.684,7685.299,12478.785,12478.785,0,,,
840,4.4,6006.218,1003.531,1785.188,6739.57,9729.716,10891.329,11133.03,13739.629,13739.629,0,,,
845,3,5501.357,1475.64,1726.917,5577.661,7315.572,10857.758,13222.147,13222.147,13222.147,0,,,
850,3.4,5530.153,999.841,1918.718,4867.175,8261.488,10006.037,12070.171,12070.171,12070.171,0,,,
855,3.6,4469.305,1004.871,1927.066,4709.546,5988.517,7909.044,7927.391,7927.391,7927.391,0,,,
860,4.4,4891.266,1003.665,1886.318,4910.107,7257.767,7875.173,7875.976,11132.71,11132.71,0,,,
865,4,6336.941,1003.551,4348.666,8250.769,8782.148,11774.35,12863.577,12863.577,12863.577,0,,,
870,3.4,4895.839,1004.684,1668.627,5511.199,5812.698,9789.779,11842.898,11842.898,11842.898,0,,,
875,4,4055.941,1475.339,2170.171,3933.631,5178.14,6606.747,9996.338,9996.338,9996.338,0,,,
880,4.6,4902.085,1004.318,3848.705,4750.513,6480.629,8328.028,8334.725,8829.094,8829.094,0,,,
885,3.4,5899.9,1091.4,4525.096,5001.517,8417.947,9153.944,10265.739,10265.739,10265.739,0,,,
890,3.2,6569.954,1592.954,5769.112,6371.045,10231.854,11350.498,11392.962,11392.962,11392.962,0,,,
895,3.2,5345.507,1585.162,2938.114,5745.288,7165.912,9029.652,13438.254,13438.254,13438.254,0,,,
900,4,5724.69,1425.907,3673.585,6538.781,8266.783,8852.065,12946.527,12946.527,12946.527,0,,,
905,3.2,5303.68,1006.265,1777.88,5543.988,8718.055,9972.125,10984.477,10984.477,10984.477,0,,,
910,3.4,6038.382,1685.284,3932.125,5821.746,7702.414,11495.118,11972.068,11972.068,11972.068,0,,,
915,3.8,5076.47,1500.447,1885.549,4583.898,8594.436,9396.001,9513.079,9513.079,9513.079,0,,,
920,3.8,5269.545,1004.858,1593.933,5109.858,8343.506,9070.675,10291.553,10291.553,10291.553,0,,,
925,3.4,5861.78,1433.474,4150.098,5555.082,8344.65,8854.944,8947.51,8947.51,8947.51,0,,,
930,4,4861.494,1004.337,1719.078,5663.303,8086.483,9143.685,9347.83,9347.83,9347.83,0,,,
935,4.4,3850.438,1004.644,1634.867,4243.425,5646.383,6916.713,7968.599,8169.993,8169.993,0,,,
940,3.8,5310.317,1004.533,4258.778,4830.532,7141.372,10141.733,10568.144,10568.144,10568.144,0,,,
945,4.8,4715.495,1002.776,2078.378,4742.714,6803.509,8285.18,8821.039,11153.026,11153.026,0,,,
950,3.6,5154.609,1418.903,4308.214,5169.51,6665.136,8546.226,8855.287,8855.287,8855.287,0,,,
955,6,3944.028,1005.643,1713.763,3481.791,6238.33,8853.856,9078.078,9181.012,9181.012,0,,,
960,3.8,4701.852,1026.149,1626.714,3715.19,8408.706,9012.344,9163.85,9163.85,9163.85,0,,,
965,4,5895.172,1085.264,4727.599,5160.34,8178.156,10927.426,14541.88,14541.88,14541.88,0,,,
970,4,4255.673,1004.054,2881.719,4677.181,5353.157,7517.44,7968.628,7968.628,7968.628,0,,,
975,3.8,4783.827,1669.203,3724.596,5228.992,6350.301,6857.685,7341.289,7341.289,7341.289,0,,,
980,4.6,5214.204,1003.471,3415.716,4050.053,7859.24,8687.041,9397.902,10542.126,10542.126,0,,,
985,3.8,4834.087,999.82,1701.176,5365.007,6731.4,9372.437,9481.646,9481.646,9481.646,0,,,
990,5,4372.322,1004.292,1489.094,4304.718,8094.938,8419.709,8701.272,8988.486,8988.486,0,,,
995,4,4755.238,1004.087,1794.966,4643.767,8520.381,10616.427,11051.007,11051.007,11051.007,0,,,
1000,3.6,5349.911,1960.979,4265.65,5278.251,7091.11,7859.402,7909.645,7909.645,7909.645,0,,,
1005,4,5552.068,1003.876,4224.386,4967.458,8603.653,9437.794,10824.935,10824.935,10824.935,0,,,
1010,4,5498.659,1023.165,1736.287,5076.951,8442.98,11720.043,11887.961,11887.961,11887.961,0,,,
1015,3.4,5028.011,1450.34,1710.465,4499.832,8328.306,8586.612,8881.124,8881.124,8881.124,0,,,
1020,3,6147.415,1433.697,4853.588,6147.654,8946.796,9057.048,9208.093,9208.093,9208.093,0,,,
1025,3.6,4950.991,1342.687,2956.087,4920.012,7000.622,7558.692,7902.274,7902.274,7902.274,0,,,
1030,4,4596.38,1085.328,4400.36,4653.142,5394.078,7192.563,7886.735,7886.735,7886.735,0,,,
1035,5.2,4780.817,1004.662,2169.411,5455.288,6223.235,8563.414,9231.063,10050.672,10050.672,0,,,
1040,3.2,4713.948,1753.766,4242.491,4642.269,5954.427,6739.177,7224.254,7224.254,7224.254,0,,,
1045,4.8,5255.548,1004.485,4116.561,5763.177,6573.609,8662.07,9182.966,10852.792,10852.792,0,,,
1050,4.2,3959.951,999.351,1728.01,4418.109,5630.057,6669.593,7126.385,7437.166,7437.166,0,,,
1055,6,3939.193,1006.591,2037.017,3548.393,4643.886,6750.094,8998.485,9175.582,9175.582,0,,,
1060,4.2,4395.055,1401.888,2888.193,4560.76,5447.895,7602.835,7853.407,8170.832,8170.832,0,,,
1065,4.2,5354.676,1003.585,3590.648,5161.007,7920.805,8289.667,8338.895,9301.389,9301.389,0,,,
1070,4.2,4809.672,1004.023,1895.054,5204.512,6991.416,7393.155,7485.996,8397.136,8397.136,0,,,
1075,4.6,4053.633,1006.51,1727.112,4232.603,4951.448,7384.036,7517.412,9155.205,9155.205,0,,,
1080,3.8,4854.75,1005.075,3038.142,4395.391,7464.064,8537.137,9589.189,9589.189,9589.189,0,,,
1085,4.2,5772.008,1005.027,2588.289,6330.716,7727.48,9596.807,10607.837,13799.585,13799.585,0,,,
1090,4,5164.591,1004.701,1685.027,5370.801,6873.539,10090.316,12648.292,12648.292,12648.292,0,,,
1095,4.6,3911.58,1003.796,1493.09,3934.386,6156.69,7811.614,8588.146,10735.681,10735.681,0,,,
1100,4.2,4968.682,1003.866,3849.873,4876.927,6714.745,7509.644,7534.32,8077.453,8077.453,0,,,
1105,4,5088.058,1003.629,1911.287,4852.264,7483.132,10531.247,11568.385,11568.385,11568.385,0,,,
1110,3.8,5174.124,1004.307,4390.821,5203.076,6648.493,8810.66,10133.286,10133.286,10133.286,0,,,
1115,4.8,4373.064,1005.354,1261.043,3423.998,7094.403,8714.455,10094.771,10244.096,10244.096,0,,,
1120,4.2,5112.417,1021.62,1601.252,5128.894,7943.264,8303.163,9007.005,10216.542,10216.542,0,,,
1125,3.4,5037.023,1004.596,4366.768,4835.563,6965.603,8453.277,8512.024,8512.024,8512.024,0,,,
1130,3.8,5239.224,1005.554,2539.144,6429.142,6972.458,8275.587,9388.293,9388.293,9388.293,0,,,
